iter	Passed	Remaining
0	57	57689
1	58	28951
2	58	19362
3	58	14568
4	58	11695
5	59	9781
6	59	8413
7	59	7387
8	59	6588
9	60	5948
10	60	5426
11	60	4993
12	60	4624
13	61	4309
14	61	4038
15	61	3808
16	62	3600
17	62	3417
18	63	3256
19	63	3107
20	63	2973
21	64	2853
22	64	2741
23	64	2643
24	65	2545
25	65	2455
26	65	2371
27	66	2295
28	66	2225
29	66	2158
30	67	2099
31	67	2045
32	68	2000
33	68	1955
34	69	1911
35	69	1865
36	69	1821
37	70	1780
38	70	1742
39	70	1703
40	71	1666
41	71	1630
42	71	1597
43	71	1564
44	72	1533
45	72	1505
46	72	1476
47	73	1449
48	73	1423
49	73	1399
50	73	1374
51	74	1351
52	74	1329
53	74	1307
54	74	1286
55	75	1267
56	76	1258
57	76	1242
58	76	1226
59	77	1210
60	77	1196
61	78	1180
62	78	1166
63	78	1154
64	79	1141
65	79	1128
66	80	1118
67	80	1104
68	80	1090
69	81	1084
70	81	1072
71	82	1063
72	83	1055
73	83	1049
74	84	1038
75	84	1031
76	85	1022
77	85	1013
78	85	1002
79	86	991
80	86	981
81	86	971
82	86	959
83	87	950
84	87	940
85	88	938
86	88	929
87	88	921
88	89	913
89	89	906
90	89	897
91	90	890
92	90	882
93	90	875
94	91	869
95	91	862
96	91	855
97	92	848
98	92	841
99	92	835
100	93	830
101	93	824
102	93	817
103	94	811
104	94	807
105	95	801
106	95	795
107	95	790
108	95	784
109	96	779
110	96	774
111	97	770
112	98	771
113	98	765
114	98	760
115	99	755
116	99	749
117	99	744
118	99	739
119	100	734
120	100	729
121	100	723
122	100	718
123	101	713
124	101	708
125	101	704
126	101	699
127	101	694
128	102	691
129	102	688
130	104	692
131	104	689
132	105	689
133	106	688
134	107	687
135	107	684
136	109	687
137	109	686
138	110	682
139	110	678
140	110	675
141	110	670
142	111	669
143	112	666
144	112	663
145	112	660
146	113	657
147	114	656
148	114	654
149	115	652
150	115	649
151	115	646
152	116	642
153	116	639
154	117	637
155	117	635
156	117	631
157	117	628
158	118	624
159	118	621
160	118	617
161	118	614
162	119	611
163	119	608
164	119	605
165	120	602
166	120	600
167	120	598
168	121	595
169	121	592
170	122	592
171	122	590
172	122	587
173	123	584
174	123	581
175	123	578
176	123	575
177	124	573
178	124	572
179	125	570
180	125	568
181	126	567
182	126	565
183	127	563
184	127	561
185	127	559
186	128	557
187	128	555
188	128	552
189	129	550
190	129	547
191	129	545
192	130	543
193	130	541
194	130	539
195	131	538
196	131	535
197	131	533
198	131	531
199	132	529
200	132	527
201	133	525
202	133	523
203	133	521
204	133	519
205	134	517
206	134	514
207	134	512
208	134	510
209	135	508
210	135	507
211	135	505
212	136	505
213	137	503
214	137	501
215	137	500
216	138	498
217	138	496
218	138	495
219	139	493
220	139	491
221	139	490
222	140	488
223	140	487
224	141	486
225	142	486
226	142	486
227	143	485
228	143	483
229	143	482
230	144	480
231	144	478
232	145	478
233	145	477
234	146	475
235	146	474
236	147	473
237	147	471
238	148	471
239	148	470
240	148	468
241	149	468
242	149	467
243	150	465
244	150	465
