iter	Passed	Remaining
0	60	59997
1	60	30091
2	60	20115
3	60	15127
4	60	12132
5	61	10137
6	61	8712
7	61	7644
8	61	6814
9	62	6148
10	62	5604
11	62	5149
12	62	4764
13	62	4436
14	63	4150
15	63	3900
16	63	3679
17	63	3488
18	64	3312
19	64	3164
20	64	3022
21	65	2892
22	65	2774
23	65	2665
24	65	2565
25	66	2472
26	66	2387
27	66	2307
28	66	2232
29	66	2163
30	67	2098
31	67	2037
32	67	1979
33	67	1925
34	68	1875
35	68	1826
36	68	1783
37	68	1740
38	68	1700
39	69	1661
40	69	1624
41	69	1589
42	69	1555
43	70	1523
44	70	1493
45	70	1463
46	70	1436
47	71	1409
48	71	1383
49	71	1358
50	71	1335
51	71	1312
52	72	1296
53	72	1277
54	73	1258
55	73	1238
56	73	1219
57	74	1215
58	75	1198
59	75	1182
60	75	1165
61	75	1149
62	76	1133
63	76	1117
64	76	1102
65	76	1087
66	77	1073
67	77	1057
68	77	1044
69	77	1032
70	77	1020
71	78	1007
72	78	995
73	78	984
74	78	972
75	79	961
76	79	950
77	79	939
78	79	929
79	79	919
80	80	909
81	80	900
82	80	890
83	80	881
84	80	871
85	81	862
86	81	852
87	81	844
88	81	836
89	81	828
90	82	821
91	82	814
92	82	807
93	82	799
94	83	792
95	83	785
96	83	778
97	83	772
98	84	765
99	84	758
100	84	751
101	84	744
102	84	738
103	84	732
104	85	725
105	85	720
106	85	714
107	85	708
108	85	702
109	86	697
110	86	691
111	86	686
112	87	686
113	87	681
114	87	676
115	88	671
116	89	673
117	89	669
118	89	663
119	89	659
120	90	654
121	90	649
122	90	644
123	90	639
124	90	635
125	90	630
126	91	626
127	91	621
128	91	617
129	91	613
130	91	609
131	92	605
132	92	601
133	92	597
134	92	593
135	92	589
136	93	585
137	93	581
138	93	578
139	93	574
140	94	574
141	94	570
142	94	567
143	94	564
144	95	560
145	95	557
146	95	554
147	95	551
148	95	547
149	96	544
150	96	541
151	96	539
152	96	536
153	97	533
154	97	530
155	97	527
156	97	524
157	97	521
158	98	519
159	98	516
160	98	514
161	99	512
162	99	510
163	99	507
164	100	506
165	100	503
166	100	502
167	100	499
168	101	497
169	101	494
170	101	492
171	101	489
172	101	487
173	102	485
174	102	483
175	102	481
176	102	478
177	103	476
178	103	474
179	103	471
180	103	469
181	104	467
182	104	466
183	104	464
184	104	462
185	105	461
186	105	460
187	106	458
188	106	456
189	106	454
190	106	452
191	107	450
192	107	448
193	107	446
194	107	445
195	108	443
196	108	441
197	108	439
198	108	437
199	108	435
200	109	433
201	109	431
202	109	430
203	110	429
204	110	427
205	110	425
206	110	424
207	110	422
208	111	420
209	111	418
210	111	417
211	111	415
212	112	413
213	112	412
214	112	410
215	112	408
216	112	407
217	113	405
218	113	403
219	113	402
220	113	400
221	113	399
222	114	397
223	114	396
224	114	394
225	114	393
226	115	391
227	115	390
228	115	388
229	115	387
230	115	385
231	116	384
232	116	382
233	116	381
234	116	380
235	116	378
236	117	377
237	117	375
238	117	374
239	117	373
240	118	371
241	118	370
242	118	369
243	118	368
244	119	368
245	119	367
246	120	365
247	120	364
248	120	363
249	120	361
250	120	360
251	121	359
252	121	358
253	121	356
254	121	355
255	121	354
256	122	353
257	122	352
258	122	350
259	122	349
260	123	348
261	123	347
262	123	345
263	123	345
264	124	344
265	124	342
266	124	341
267	124	340
268	124	339
269	125	338
270	125	337
271	125	336
272	125	334
273	125	333
274	126	332
275	126	331
276	126	330
277	126	329
278	127	328
279	127	327
280	127	326
281	127	325
282	127	324
283	128	323
284	128	322
285	128	321
286	128	320
287	129	319
288	129	318
289	129	317
290	129	316
291	130	315
292	130	314
293	130	313
294	130	312
295	131	311
296	131	310
297	131	309
298	131	308
299	131	307
300	132	307
301	132	306
302	132	305
303	133	304
304	133	303
305	133	302
306	134	303
307	135	304
308	135	303
309	136	303
310	136	302
311	136	302
312	137	301
313	137	300
314	138	301
315	138	300
316	138	299
317	139	298
318	139	297
319	139	296
320	139	295
321	140	295
322	140	294
323	140	293
324	140	292
325	141	291
326	141	290
327	141	289
328	141	288
329	141	288
330	142	287
331	142	286
332	142	285
333	142	284
334	142	283
335	143	283
336	143	282
337	143	281
338	144	280
339	144	280
340	144	279
341	144	278
342	144	277
343	145	276
344	145	275
345	145	275
346	145	274
347	146	273
348	146	272
349	146	271
